old_ccg,ccg20cdh
00C,16C
00D,84H
00J,84H
00K,16C
00M,16C
01C,27D
01R,27D
02D,27D
02F,27D
02N,36J
02R,36J
02W,36J
03D,42D
03E,42D
03M,42D
03T,71E
03V,78H
04D,71E
04E,52R
04G,78H
04H,52R
04K,52R
04L,52R
04M,52R
04N,52R
04Q,71E
05F,18C
05J,18C
05T,18C
06D,18C
06M,26A
06V,26A
06W,26A
06Y,26A
07J,26A
07M,93C
07N,72Q
07Q,72Q
07R,93C
07V,36L
07X,93C
08A,72Q
08D,93C
08H,93C
08J,36L
08K,72Q
08L,72Q
08P,36L
08Q,72Q
08R,36L
08T,36L
08X,36L
09C,91Q
09E,91Q
09F,97R
09G,70F
09H,70F
09J,91Q
09L,92A
09N,92A
09P,97R
09W,91Q
09X,70F
09Y,92A
10A,91Q
10D,91Q
10E,91Q
11E,92G
12D,92G
99D,71E
99H,92A
99J,91Q
99K,97R
99N,92G
00F,13T
00G,13T
00H,13T
00W,14L
01M,14L
01N,14L
02V,15F
03C,15F
03G,15F
03X,15M
03Y,15M
04J,15M
04R,15M
04X,15E
05P,15E
10G,15D
10H,14Y
10M,15A
10N,15A
10T,15D
10W,15A
10Y,14Y
11C,15D
11D,15A
11H,15C
11T,15C
12A,15C
13P,15E
99P,15N
99Q,15N
