year,sex,age_group,stp,est_deaths
2019,female,0,E54000010,19.663
2019,female,0,E54000011,6.609
2019,female,0,E54000012,13.851303965605748
2019,female,0,E54000013,8.392999999999999
2019,female,0,E54000014,15.750999999999998
2019,female,0,E54000015,18.486
2019,female,0,E54000016,33.87275648354471
2019,female,0,E54000017,33.60924351645529
2019,female,0,E54000018,15.495999999999999
2019,female,0,E54000019,10.926
2019,female,0,E54000020,12.562060293467505
2019,female,0,Region,189.21936425907325
2019,female,1,E54000010,3.379
2019,female,1,E54000011,1.8869999999999996
2019,female,1,E54000012,3.6438741230321696
2019,female,1,E54000013,2.358
2019,female,1,E54000014,3.768
2019,female,1,E54000015,3.749
2019,female,1,E54000016,4.718582913360684
2019,female,1,E54000017,4.899417086639316
2019,female,1,E54000018,3.67
2019,female,1,E54000019,2.33
2019,female,1,E54000020,2.9885242836992902
2019,female,1,Region,37.39139840673146
2019,female,2,E54000010,1.0070000000000001
2019,female,2,E54000011,0.7550000000000001
2019,female,2,E54000012,1.114413864647502
2019,female,2,E54000013,0.6010000000000001
2019,female,2,E54000014,1.084
2019,female,2,E54000015,0.9620000000000001
2019,female,2,E54000016,2.299975853308066
2019,female,2,E54000017,2.184024146691934
2019,female,2,E54000018,1.0510000000000002
2019,female,2,E54000019,0.575
2019,female,2,E54000020,0.8212341845434833
2019,female,2,Region,12.454648049190986
2019,female,3,E54000010,0.659
2019,female,3,E54000011,0.14700000000000002
2019,female,3,E54000012,0.3861215990759754
2019,female,3,E54000013,0.29200000000000004
2019,female,3,E54000014,0.648
2019,female,3,E54000015,0.41300000000000003
2019,female,3,E54000016,0.7478456444324122
2019,female,3,E54000017,1.017154355567588
2019,female,3,E54000018,0.41500000000000004
2019,female,3,E54000019,0.317
2019,female,3,E54000020,0.4306519020652197
2019,female,3,Region,5.472773501141195
2019,female,4,E54000010,0.36400000000000005
2019,female,4,E54000011,0.15900000000000003
2019,female,4,E54000012,0.3803167992813142
2019,female,4,E54000013,0.24000000000000002
2019,female,4,E54000014,0.355
2019,female,4,E54000015,0.404
2019,female,4,E54000016,0.7857109286601831
2019,female,4,E54000017,0.8442890713398168
2019,female,4,E54000018,0.27
2019,female,4,E54000019,0.32
2019,female,4,E54000020,0.3338997915833351
2019,female,4,Region,4.456216590864649
2019,female,5,E54000010,0.30400000000000005
2019,female,5,E54000011,0.128
2019,female,5,E54000012,0.27695093258042436
2019,female,5,E54000013,0.201
2019,female,5,E54000014,0.452
2019,female,5,E54000015,0.326
2019,female,5,E54000016,0.8328184052146026
2019,female,5,E54000017,1.0801815947853974
2019,female,5,E54000018,0.322
2019,female,5,E54000019,0.272
2019,female,5,E54000020,0.31372152165217576
2019,female,5,Region,4.508672454232601
2019,female,6,E54000010,0.401
2019,female,6,E54000011,0.184
2019,female,6,E54000012,0.31958506587953456
2019,female,6,E54000013,0.201
2019,female,6,E54000014,0.41900000000000004
2019,female,6,E54000015,0.32
2019,female,6,E54000016,0.6554354439562118
2019,female,6,E54000017,0.7055645560437882
2019,female,6,E54000018,0.601
2019,female,6,E54000019,0.23900000000000002
2019,female,6,E54000020,0.23718671185869775
2019,female,6,Region,4.282771777738232
2019,female,7,E54000010,0.324
2019,female,7,E54000011,0.218
2019,female,7,E54000012,0.3842191991786448
2019,female,7,E54000013,0.275
2019,female,7,E54000014,0.393
2019,female,7,E54000015,0.449
2019,female,7,E54000016,0.6174420125367043
2019,female,7,E54000017,0.9945579874632958
2019,female,7,E54000018,0.34700000000000003
2019,female,7,E54000019,0.23200000000000004
2019,female,7,E54000020,0.22854325172101644
2019,female,7,Region,4.462762450899661
2019,female,8,E54000010,0.334
2019,female,8,E54000011,0.231
2019,female,8,E54000012,0.3009509325804244
2019,female,8,E54000013,0.183
2019,female,8,E54000014,0.261
2019,female,8,E54000015,0.305
2019,female,8,E54000016,0.7076463396433357
2019,female,8,E54000017,0.6403536603566644
2019,female,8,E54000018,0.36200000000000004
2019,female,8,E54000019,0.213
2019,female,8,E54000020,0.23001688385507674
2019,female,8,Region,3.767967816435501
2019,female,9,E54000010,0.28800000000000003
2019,female,9,E54000011,0.195
2019,female,9,E54000012,0.276682665982204
2019,female,9,E54000013,0.19
2019,female,9,E54000014,0.232
2019,female,9,E54000015,0.342
2019,female,9,E54000016,0.463792646313612
2019,female,9,E54000017,0.373207353686388
2019,female,9,E54000018,0.258
2019,female,9,E54000019,0.20400000000000001
