nhser20cd,nhser20nm,stp20cd,stp20nm
E40000003,London,E54000027,North West London Health and Care Partnership
E40000003,London,E54000028,North London Partners in Health and Care
E40000003,London,E54000029,East London Health and Care Partnership
E40000003,London,E54000030,Our Healthier South East London
E40000003,London,E54000031,South West London Health and Care Partnership
E40000005,South East,E54000032,Kent and Medway
E40000005,South East,E54000034,Frimley Health and Care ICS
E40000005,South East,E54000042,Hampshire and the Isle of Wight
E40000005,South East,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West"
E40000005,South East,E54000052,Surrey Heartlands Health and Care Partnership
E40000005,South East,E54000053,Sussex and East Surrey Health and Care Partnership
E40000006,South West,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership
E40000006,South West,E54000037,Devon
E40000006,South West,E54000038,Somerset
E40000006,South West,E54000039,"Bristol, North Somerset and South Gloucestershire"
E40000006,South West,E54000040,"Bath and North East Somerset, Swindon and Wiltshire"
E40000006,South West,E54000041,Dorset
E40000006,South West,E54000043,Gloucestershire
E40000007,East of England,E54000021,Cambridgeshire and Peterborough
E40000007,East of England,E54000022,Norfolk and Waveney Health and Care Partnership
E40000007,East of England,E54000023,Suffolk and North East Essex
E40000007,East of England,E54000024,"Bedfordshire, Luton and Milton Keynes"
E40000007,East of England,E54000025,Hertfordshire and West Essex
E40000007,East of England,E54000026,Mid and South Essex
E40000008,Midlands,E54000010,Staffordshire and Stoke on Trent
E40000008,Midlands,E54000011,Shropshire and Telford and Wrekin
E40000008,Midlands,E54000012,Joined Up Care Derbyshire
E40000008,Midlands,E54000013,Lincolnshire
E40000008,Midlands,E54000014,Nottingham and Nottinghamshire Health and Care
E40000008,Midlands,E54000015,"Leicester, Leicestershire and Rutland"
E40000008,Midlands,E54000016,The Black Country and West Birmingham
E40000008,Midlands,E54000017,Birmingham and Solihull
E40000008,Midlands,E54000018,Coventry and Warwickshire
E40000008,Midlands,E54000019,Herefordshire and Worcestershire
E40000008,Midlands,E54000020,Northamptonshire
E40000009,North East and Yorkshire,E54000009,South Yorkshire and Bassetlaw
E40000009,North East and Yorkshire,E54000050,Cumbria and North East
E40000009,North East and Yorkshire,E54000051,"Humber, Coast and Vale"
E40000009,North East and Yorkshire,E54000054,West Yorkshire and Harrogate (Health and Care Partnership)
E40000010,North West,E54000007,Greater Manchester Health and Social Care Partnership
E40000010,North West,E54000008,Cheshire and Merseyside
E40000010,North West,E54000048,Healthier Lancashire and South Cumbria
